Startup_ID,Team_Size,Founder_Experience_Years,Startup_Age_Years,Industry,City,Funding_Goal,Funding_Raised,Funding_Success,Growth_Rate,Revenue
1,3,3,7,CleanTech,Bangalore,1147483,1568791,Yes,High,5000000
2,15,13,4,AgriTech,Mumbai,594631,1109544,Yes,High,5000000
3,12,11,1,E-Commerce,Delhi,112934,194921,Yes,High,5000000
4,14,10,1,AgriTech,Kolkata,365960,1325472,Yes,High,5000000
5,19,15,7,CleanTech,Kolkata,1130906,1182700,Yes,High,5000000
6,8,10,4,AI,Mumbai,793440,1161717,Yes,High,5000000
7,16,4,9,CleanTech,Pune,1616575,353030,No,Low,500000
8,19,7,3,AgriTech,Pune,617387,1615026,Yes,High,5000000
9,11,12,6,CleanTech,Chennai,1255508,1764886,Yes,High,5000000
10,15,2,6,FinTech,Mumbai,671445,151133,No,Low,500000
11,3,4,8,EdTech,Chennai,1522761,1648892,Yes,High,5000000
12,2,3,5,EdTech,Pune,1325864,1602429,Yes,High,5000000
13,9,8,2,CleanTech,Bangalore,291650,1320419,Yes,High,5000000
14,14,12,2,AI,Delhi,350340,363802,Yes,High,5000000
15,4,4,2,HealthTech,Bangalore,627405,1770727,Yes,High,5000000
16,5,10,10,FinTech,Pune,997604,911805,No,Low,500000
17,20,6,5,HealthTech,Pune,543822,233219,No,Low,500000
18,10,6,2,FinTech,Delhi,365866,2109279,Yes,High,5000000
19,3,10,3,EdTech,Pune,1102051,1150939,Yes,High,5000000
20,12,6,3,EdTech,Delhi,1926367,2150358,Yes,High,5000000
21,18,6,7,E-Commerce,Pune,721508,925785,Yes,High,5000000
22,14,4,5,CleanTech,Chennai,1985816,2203019,Yes,High,5000000
23,6,15,5,AgriTech,Pune,1265223,1721769,Yes,High,5000000
24,16,3,10,AgriTech,Kolkata,112402,1752766,Yes,High,5000000
25,8,10,9,FinTech,Mumbai,454611,433839,No,Low,500000
26,6,15,4,CleanTech,Pune,311237,2014225,Yes,High,5000000
27,10,2,6,FinTech,Mumbai,172942,2135583,Yes,High,5000000
